Reference,Quantity,Value,Footprint,Datasheet, MFG Part#, Description
"C1 C2 ","2","C_22n","ScopefunPackagesLibrary:C_0603","","C0603C223K1RACTU","MLCC - SMD/SMT 0603 100V X7R 10%"
"C11 C13 ","2","C_390p","ScopefunPackagesLibrary:C_0603","","VJ0603A391GXAPW1BC","MLCC - SMD/SMT 0603 50V C0G 2%"
"C112 C113 C114 C130 C131 ","5","C_1n","ScopefunPackagesLibrary:C_0603","","C1608X7R1H102K080AE","MLCC - SMD/SMT 0603 50V X7R 10%"
"C116 C117 C118 C133 C134 ","5","C_180p","ScopefunPackagesLibrary:C_0603","","C0603C181J5GACTU","MLCC - SMD/SMT 0603 50V C0G 5%"
"C119 C121 C135 C136 C178 C179 C227 ","7","C_100u","ScopefunPackagesLibrary:C_1210","http://datasheets.avx.com/cx5r.pdf","12106D107MAT2A","MLCC - SMD/SMT 1210 6.3V X5R 20%"
"C124 C226 C250 ","3","C_1u","ScopefunPackagesLibrary:C_0603","","C0603C105K9PACTU","MLCC - SMD/SMT 0603 6.3V X5R 10%"
"C12 C14 C210 C213 C228 C229 C48 C52 ","8","C_0603","ScopefunPackagesLibrary:C_0603","","","Not populated"
"C143 C224 C225 C232 C233 ","5","C_2.2u","ScopefunPackagesLibrary:C_0603","","CC0603MRX5R5BB225","MLCC - SMD/SMT 0603 6.3V X5R 20%"
"C160 C164 ","2","C_12p","ScopefunPackagesLibrary:C_0603","","CGA3E2C0G1H120J080AA","MLCC - SMD/SMT 0603 50V C0G 5%"
"C169 C171 ","2","C_0.1u","ScopefunPackagesLibrary:C_0402","https://katalog.we-online.com/pbs/datasheet/885012205018.pdf","885012205018","MLCC - SMD/SMT 0402 10V X7R 10%"
"C181 C188 ","2","C_1210","ScopefunPackagesLibrary:C_1210","","","Not populated"
"C182 C183 C184 C185 C186 C187 C192 C196 C208 C209 C211 C212 ","12","C_4.7u","ScopefunPackagesLibrary:C_0805","","C2012X7R1A475K125AC","MLCC - SMD/SMT 0805 10V X7R 10%"
